stt,name,name (english),type,address,license no,issue date,phone,fax,website,email
11,CÔNG TY CỔ PHẦN MIỀN Á ĐÔNG,EAST ASIA CORPORATION,International Travel,KHÁCH SẠN ATS - 33B PHẠM NGŨ LÃO,01-413/2014/TCDL-GP LHQT,11/04/2024,(024) 3933 1362,,www.easia-travel.com,info@easia-travel.com
12,CÔNG TY TNHH DU LỊCH VIỄN ĐÔNG,DISCOVER EAST TRAVEL COMPANY LIMITED,International Travel,"SỐ 10 NGÕ YÊN NINH, PHỐ YÊN NINH",01-113/2017/TCDL-GP LHQT,18/11/2024,0243 927 5339,0243 3927 5340,www.discovereast.vn,info@discovereast.vn
13,Công ty TNHH Thương mại Du lịch Quốc tế Đình Anh,DINH ANH INTERNATIONAL TOURIST TRADING COMPANY LIMITED,International Travel,"SỐ NHÀ A1 Tập thể Sở Địa chính, PHỐ Trung Kính, P. YÊN HÒA, Q. Cầu giấy, Tp. Hà Nội, VIỆT NAM",01-342/2014/TCDL-GP LHQT,04/06/2011,(024) 3782 1346 / (024) 3782 1347,(024) 3782 1749,www.vietnam-mice.com,dinhanh@vietnam-mice.com
14,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH TRỌNG ĐIỂM,FOCUS TRAVEL AND TRADING COMPANY LIMITED,International Travel,"SỐ 15, NGÁCH 4, NGÕ 47, ĐƯỜNG NGUYÊN HỒNG",01-079/2021/TCDL-GP LHQT,14/06/2023,2438357585,2437735153,www.focusvietnam.com,info@focusvietnam.com
15,Công ty TNHH Du lịch và Thể thao Việt Nam,VT - TOUR AND SPORT COMPANY LIMITED,International Travel,"Tầng 1 tòa nhà COALIMEX, 33 Tràng Thi, Q. Hoàn Kiếm, Tp. Hà Nội",01-233/2014/TCDL-GP LHQT,29/12/2014,(024) 3943 8777,(024) 3943 8759,www.vietrantour.com.vn,info@vietrantour.com.vn
16,CÔNG TY TNHH DU LỊCH HỘI Á CHÂU,ASIATIC ASSOCIATION TRAVEL COMPANY LIMITED,International Travel,"SỐ 26-28 NGÕ HÀNG BỘT, ĐƯỜNG TÔN ĐỨC THẮNG, PHƯỜNG Ô CHỢ DỪA, THÀNH PHỐ HÀ NỘI",01-388/2021/CDLQGVN-GP LHQT,04/11/2025,2462662816,2462662818,www.asiatica.com,info@asiatica.com
17,Công ty TNHH Quan Lộ,MANDARINE ROAD COMPANY LIMITED,International Travel,"14 ngõ 62 Gia Quất, Q. Long Biên, Tp. Hà Nội",01-229/2014/TCDL-GP LHQT,20/11/2014,(024) 3871 5350 / 0913 232 235,(024) 3871 5351,www.mandarinroad.com,"sales@mandarinroad.com, info@mandarinroad.com, info@routemandarine.com,"
18,"CÔNG TY TNHH DU LỊCH, DỊCH VỤ VÀ THƯƠNG MẠI NTD","NTD TRAVEL, SERVICES AND TRADING COMPANY LIMITED",International Travel,"B2 P7 208Đ, phố Đội Cấn, Phường Ngọc Hà, Thành phố Hà Nội",01-346/2014/CDLQGVN-GP LHQT,23/07/2025,0913274339/02439426644,7222030,ntdtravel.com.vn,sales@ntdtravel.com.vn
19,Công ty TNHH TM DV và Du lịch Đại Minh,"DAI MINH TRADING,SERVICE AND TOURISM COMPANY LIMITED",International Travel,"Lô 118, TT3, KĐT Mỹ Đình, Q. Nam Từ Liêm, Tp. Hà Nội",01-035/2015/TCDL-GP LHQT,15/10/2015,(024) 3562 4284,(024) 5623 777,www.daiminhtravel.com,huongtl@daiminhtravel.com kimchi1210@gmail.com
21,Công ty TNHH Thương mại Du lịch và Dịch vụ Rồng Vàng,DRAGON COMMERCIAL TRAVEL AND SERVICES COMPANY LIMITED,International Travel,"22 Hàng Bè, Q. Hoàn Kiếm, Tp. Hà Nội",01-284/2015/TCDL-GP LHQT,14/9/2015,(024) 3928 5366,(024) 3928 5365,www.dragontravels.com,dragontravel@fpt.vn
22,CÔNG TY TNHH DU LỊCH KHÁM PHÁ ĐÔNG NAM Á,ASIANVENTURE TOURS COMPANY LIMITED,International Travel,"TẦNG 1, SỐ 5 HẺM 128C/27/1 ĐẠI LA, PHƯỜNG ĐỒNG TÂM, QUẬN HAI BÀ TRƯNG, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-196/2015/TCDL-GP LHQT,09/06/2023,944567788,,www.asianventure.com,info@asianventure.com
23,Công ty TNHH Dịch vụ Du lịch Đại Việt Á Châu,ASIA-VIET TRAVEL SERVICE COMPANY LIMITED,International Travel,"Phòng 402, tòa nhà chung cư CTM, 299 Cầu Giấy, Q. Cầu giấy, Tp. Hà Nội",01-355/2014/TCDL-GP LHQT,31/12/2014,(024) 2221 1001,(024) 2221 1005,,assistant@asiaviet.com.vn
24,Công ty TNHH Phát triển Thế kỷ Thương mại và Du lịch,DEVELOPMENT CENTURY TRADE AND TOURS COMPANY LIMITED,International Travel,"32C Hội Vũ, Q. Hoàn Kiếm, Tp. Hà Nội",01-089/2014/TCDL-GP LHQT,31/12/2014,(024) 3771 1056,(024) 3771 1065,www.dctvietnam.com.vn,dctoursco@vnn.vn
25,Công ty TNHH Thương mại và Du lịch Anh Việt,ANH VIET TOURIST AND TRADING COMPANY LIMITED,International Travel,"Số 197 Hồng Hà, P.Phúc Tân, Q.HK",01-273/2018/TCDL-GP LHQT,14/03/2018,(024) 3932 3680,(024) 39323536,www.vietattitude.net,vietattitude.travel@gmail.com
26,CÔNG TY TNHH DU LỊCH TRÂU VIỆT NAM,BUFFALO TOURS VIETNAM COMPANY LIMITED,International Travel,SỐ 33 TRÚC BẠCH,01-128/2022/TCDL-GP LHQT,13/01/2025,024 3828 0702,,,vietnam@discova.com
27,CÔNG TY CỔ PHẦN DU LỊCH QUỐC TẾ KHÁNH SINH,KHANH SINH INTERNATIONAL TOURISM JOINT STOCK COMPANY,International Travel,"SỐ 26, PHỐ LÒ SŨ, PHƯỜNG LÝ THÁI TỔ, QUẬN HOÀN KIẾM, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-127/2020/TCDL-GP LHQT,26/10/2009,(024) 3926 1718 / (024) 3926 3402,(024) 3926 1719,www.khanhsinhtour.com,info@khanhsinhtour.com
28,CÔNG TY TNHH DU LỊCH CHÂU Á - THÁI BÌNH DƯƠNG,ASIA - PACIFIC TRAVEL COMPANY LIMITED,International Travel,SỐ 66 HÀNG THAN,01-014/2014/TCDL-GP LHQT,31/05/2024,024 38364212,,www.asiapacifictravel.vn,info@asiapacifictravel.vn
29,Công ty TNHH Du lịch Khám phá Đông Dương,DISCOVERY INDOCHINA COMPANY LIMITED,International Travel,"218/29/22 Lạc Long Quân, Q. Tây Hồ, Tp. Hà Nội",01-109/2014/TCDL-GP LHQT,31/12/2014,(04) 3716 4132,(04) 3716 4133,http://discoveryindochina.com,info@discoveryindochina.com
30,Công ty TNHH Tư vấn hợp tác phát triển và Du lịch,TOURIST AND DEVELOPMENT COOPERATION CONSULTANT COMPANY LIMITED,International Travel,"5 Ngõ 91A Lý Nam Đế, Q. Hoàn Kiếm, Tp. Hà Nội",01-405/2014/TCDL-GP LHQT,22/04/2014,(024) 3823 5767,(024) 3747 2333,www.todeco-vn.com,todeco-vn@vnn.vn
31,Công ty TNHH Du lịch Chim Sẻ,SPARROW TRAVELS COMPANY LIMITED,International Travel,"B 139 Khu TT cty xây lắp số 7, X. Liên Ninh, H.Thanh Trì, Hà Nội",01-069/2015/TCDL-GP LHQT,27/4/2015,(024) 3686 3533,(024) 3686 3533,,spr_travels@yahoo.com
32,CÔNG TY TNHH DU LỊCH DỊCH VỤ CÔNG ĐOÀN ĐƯỜNG SẮT VIỆT NAM,VIETNAM RAILWAYS TRADE UNION TOURIST COMPANY LIMITED,International Travel,"SỐ 65, PHỐ QUÁN SỨ, PHƯỜNG TRẦN HƯNG ĐẠO, QUẬN HOÀN KIẾM, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-251/2022/TCDL-GP LHQT,29/10/2010,(024) 3822 4372,(024) 3822 4211,www.viratour.com.vn,viratour@fpt.vn
33,Công ty TNHH Tâm,TAM COMPANY LIMITED,International Travel,90 Phó Đức Chính,01-323/2015/TCDL-GP LHQT,28/08/2023,(024) 3715 0831,,www.tamtravel.com.vn,info@tamtravel.com.vn
34,CÔNG TY TNHH TẦM NHÌN VIỄN Á,VISION OF ASIA EXTREME COMPANY LIMITED,International Travel,"SỐ NHÀ 2, NGÁCH 167/25, PHỐ THANH NHÀN",01-086/2021/TCDL-GP LHQT,18/11/2021,2439745123,2439745124,www.lapalanche.com,info@lapalanche.com
36,CÔNG TY CỔ PHẦN THĂNG LONG GTC,THANG LONG GTC JOINT STOCK COMPANY,International Travel,Số 113-115 Phố Lê Duẩn,01-133/2016/CDLQGVN-GP LHQT,21/10/2025,84.438.223.058,84.438221.726,www.thanglonggtc.com.vn,thanglong-gtc@thanglonggtc.com.vn
37,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DU LỊCH THẮNG LỢI,THANG LOI TRADING AND TOURISM INVESTMENT COMPANY LIMITED,International Travel,"NGÕ 149 GIẢNG VÕ, PHƯỜNG CÁT LINH, QUẬN ĐỐNG ĐA, THÀNH PHỐ HÀ NỘI, VIỆT NAM",01-270/2020/TCDL-GP LHQT,01/11/2010,+84 243 733 1857,+84 243 733 1967,www.victoria_travel.com.vn,victoria-ist@fpt.vn
38,Công ty TNHH Du lịch Xuyên Đông Dương,TRANSINDOCHINA TRAVEL COMPANY LIMITED,International Travel,"SỐ 10, NGÕ TRÀNG AN, PHỐ TRIỆU VIỆT VƯƠNG",01-114/2015/TCDL-GP LHQT,12/07/2024,084 243 9740272,,vietnaminsolite.com,vietnaminsolite@gmail.com
39,Công ty TNHH Nắng mới Việt Nam,SUNSHINE VIETNAM COMPANY LIMITED,International Travel,"83 ngõ 84 Ngọc Khánh, Q. Ba Đình, Tp. Hà Nội",01-005/2014/TCDL-GP LHQT,31/12/2014,,,www.sunshine.com.vn,sales@vietnamsunshinetravel.com
40,Công ty TNHH Du lịch Quốc tế Đại Việt,GRAND VIET INTERNATIONAL TOURIST COMPANY LIMITED,International Travel,"1 Dương Quảng Hàm, Q. Cầu Giấy, Tp. Hà Nội",01-217/2015/TCDL-GP LHQT,28/8/2015,(024) 3747 4138,(024) 3747 4139,www.grandviettour.com,grandviettour@vnn.vn
41,CÔNG TY TNHH ASAM TRAVEL,ASAM TRAVEL COMPANY LIMITED,International Travel,SỐ 62 PHỐ NGUYỄN VIẾT XUÂN,01-292/2018/TCDL-GP LHQT,30/05/2024,977198163,04 35659326,,asamtravel23@gmail.com
42,CÔNG TY TNHH THƯƠNG MẠI DU LỊCH MẠO HIỂM Á CHÂU,ADVENTURES ASIA TOURIST TRADING COMPANY LIMITED,International Travel,"SỐ 8-B19,",01-037/2020/TCDL-GP LHQT,27/05/2009,2462690579,2462290569,adventures-asia.com,info@Adventures-Asia.com
43,Công ty TNHH DL và TM Tam Kỳ,THREELAND TRAVEL & TRADING COMPANY LIMITED,International Travel,"125 Hồng Hà, Q. Ba Đình, Tp. Hà Nôi",01-062/2014/TCDL-GP LHQT,31/12/2014,(024) 3926 2056,(024) 3926 2058,www.threeland.com,contact@threeland.com
44,Công ty TNHH Tư vấn Đầu tư Thương mại và Du lịch Sơn Việt,"SON VIET TOURISM, TRADING AND INVESTMENT CONSULTANT COMPANY LIMITED",International Travel,"3/354 Lê Duẩn, Q. Đống Đa, Tp. Hà Nội",01-293/2016/TCDL-GP LHQT,04/08/2016,(024) 3572 4678,(024) 3572 0648,www.goldentravel.vn,info@goldentravel.vn
45,Công ty TNHH NN MTV DL Công đoàn Hà Nội,HANOI TRADE UNION TOURISM COMPANY LIMITED,International Travel,"98 Tô Ngọc Vân, Q. Tây Hồ, Tp. Hà Nội",01-011/2015/TCDL-GP LHQT,3/7/2015,(024) 3829 3811,(024) 3829 3825,www.hanoiholiday.com.vn,"dlcdhn@gmail.com; hatraco@holiday.com.vn,congdoantours@vnn.vn"
46,Công ty TNHH Thương mại và Du lịch Đường Mòn xanh,GREEN TRAIL TOURISM AND TRADING COMPANY LIMITED,International Travel,"số 49, Dốc Tam Đa, Q.Tây Hồ, Tp. Hà Nội",01-283/2015/TCDL-GP LHQT,30/1/2015,,,www.greentrailtourism.com,info@greentrailtourism.com
47,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH DẤU CHÂN,FOOTPRINT TRADING AND TRAVEL COMPANY LIMITED,International Travel,"SỐ NHÀ 12 NGÁCH 36, NGÕ 298 NGỌC LÂM",01-214/2020/TCDL-GP LHQT,09/12/2023,2439332844,2439332855,www.footprintsvietnam.com,footprint@hn.vnn.vn
48,CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ THƯƠNG MẠI HÙNG VƯƠNG,HUNG VUONG TRADING AND TOURISM SERVICES COMPANY LIMITED,International Travel,"SỐ NHÀ 48, NGÕ 124, ĐƯỜNG ÂU CƠ,",01-286/2022/TCDL-GP LHQT,22/11/2010,2437192923,2437192874,,sukiendulich1@gmail.com
49,CÔNG TY TNHH DU LỊCH NGƯỜI THÁM HIỂM VIỆT NAM,VIETNAM PATHFINDERS TRAVEL COMPANY LIMITED,International Travel,"SỐ 2/43, NGÕ 514 THUỴ KHUÊ,",01-148/2021/TCDL-GP LHQT,16/06/2021,2439289776,243928978,www.vietnampathfinder.com,info@vietnampathfinder.com
50,CÔNG TY TNHH DU LỊCH SANG TRỌNG VIỆT NAM,LUXURY TRAVEL VIENAM COMPANY LIMITED,International Travel,"SỐ 9, HẺM 462/35/4 ĐƯỜNG BƯỜI",01-074/2021/TCDL-GP LHQT,28/12/2023,2439274120,,luxurytravel.vn,domestic@luxurytravel.vn
51,Công ty TNHH Thương mại và Du lịch Quốc tế,INTERNATIONAL TRADING AND TOURIST COMPANY LIMITED,International Travel,"48 Lương Ngọc Quyến, Q. Hoàn Kiếm, Tp. Hà Nội",01-306/2014/TCDL-GP LHQT,31/12/2014,(024) 3926 1979,(024) 3926 0563,www.vietnamfreedomtour.com,"info@vietnamfreedomtour.com,"
52,Công ty TNHH Du lịch và Thương mại Tam Nguyên,TAM NGUYEN TOURIST AND TRADING COMPANY LIMITED,International Travel,"Nhà 11-A12 Đầm Trấu, Q. Hai Bà Trưng, Tp. Hà Nội",01-305/2015/TCDL-GP LHQT,27/8/2015,(024) 2215 3151,(024) 6270 2400,www.explorevietnamtravel.com,info@tnttravel.com.vn
53,Công ty TNHH Khám phá Châu Á,EXPLORE REAL ASIA COMPANY LIMITED,International Travel,"Ô 34, LÔ 7 ĐỀN LỪ I",01-092/2023/TCDL-GP LHQT,11/05/2023,0903 411 916,,eratour.vn,info@explorerealasia.net
54,Công ty TNHH Đầu tư và Du lịch 365,365 TRAVEL AND INVESTMENT COMPANY LIMITED,International Travel,"TẦNG 9 – TÒA NHÀ LADECO, 266 ĐỘI CẤN",01-304/2015/TCDL-GP LHQT,12/07/2023,84 24 3 835 4899,,365travel.asia,info@365travel.asia
55,Công ty TNHH Nam Việt,,International Travel,"343 Hoàng Hoa Thám, Q. Ba Đình, Tp. Hà Nội",01-072/2015/TCDL-GP LHQT,24/8/2015,(024) 3942 9419,(024) 3942 9418,www.navicotravel.com.vn,viettin@hn.vnn.vn ; navicotravel@fpt.vn
56,CÔNG TY TNHH GO VIETNAM ADVENTURE,GO VIETNAM ADVENTURE COMPANY LIMITED,International Travel,80 ĐÊ TÔ HOÀNG,01-205/2020/TCDL-GP LHQT,24/01/2024,918763515,,cuongs-motorbike-adventure.com,info@cuongs-motobike-adventure.com
57,Công ty TNHH DU LỊCH Vua Á Châu,ASIA KING TRAVEL COMPANY LIMITED,International Travel,"SỐ NHÀ 22, NGÁCH 29, NGÕ 218, ĐƯỜNG LẠC LONG QUÂN, PHƯỜNG BƯỞI, QUẬN TÂY HỒ, HÀ NỘI",01-045/2015/TCDL-GP LHQT,23/06/2009,(024) 3719 1918,(024) 3719 1916,www.asiakingtravel.com,nam@asiakingtravel.com
58,CÔNG TY TNHH MỘT THÀNH VIÊN DU LỊCH CÔNG ĐOÀN VIỆT NAM,VIET NAM TRADE UNION TOURISM LIMITED COMPANY,International Travel,SỐ 14 TRẦN BÌNH TRỌNG,01-131/2015/TCDL-GP LHQT,04/12/2024,024 3942 1783,,www.trade-union.com.vn,plan.tic@fpt.vn
59,Công ty TNHH Thương mại và Du lịch AMASIA Việt Nam,AMASIA VIETNAM TRADING AND TRAVEL COMPANY LIMITED,International Travel,"22 ngách 1/122 Phú Viên, Q. Long Biên, Tp. Hà Nội",01-231/2015/TCDL-GP LHQT,12/2/2015,(024) 3872 1656,(024) 3872 6797,www.amasiatravel.com,info@amasiatravel.com
61,Công ty TNHH MTV Mạo hiểm KT,KT ADVENTURE COMPANY LIMITED,International Travel,"Phòng 405 nhà B 13 tầng, KĐT Mới Sài Đồng, Q. Long Biên, Tp. Hà Nội",01-258/2015/TCDL-GP LHQT,18/09/2015,(024) 6672 0011,(024) 3674 0487,www.vivutravel.com,management@vivutravel.com
62,CÔNG TY TNHH ĐẦU TƯ VÀ TƯ VẤN DU LỊCH Á CHÂU,ASIA TOURIST ADVISOR AND INVESTMENT COMPANY LIMITED,International Travel,"SỐ 36 ĐƯỜNG 2, KHU TẬP THỂ F361 AN DƯƠNG",01-349/2014/TCDL-GP LHQT,10/10/2024,948144144,,www.asiatouradvisor.com,info@asiatouradvisor.com
63,"CÔNG TY TNHH MTV XUẤT NHẬP KHẨU, DU LỊCH VÀ ĐẦU TƯ HỒ GƯƠM","HO GUOM INVESTMENT, TOURIST AND IM-EXPORT ONE MEMBER COMPANY LIMITED",International Travel,"SỐ 125 PHỐ BÙI THỊ XUÂN,",01-059/2021/TCDL-GP LHQT,24/11/2011,(024) 3936 4600 / (024) 3936 4604,,www.inserimextravel.com.vn,sale@inserhan.com
64,CÔNG TY TNHH DU HÀNH Á CHÂU,ASIA TRAVEL COMPANY LIMITED,International Travel,"SỐ NHÀ 11M, NGÕ 622 ĐƯỜNG MINH KHAI",01-158/2019/TCDL-GP LHQT,23/05/2024,2439264618,,attasiatravel.com,sale@attasiatravel.com
65,Công ty TNHH Phát triển Đầu tư và Thương mại A.I.P,A.I.P TRADING AND INVESTMENT DEVELOPMENT COMPANY LIMITED,International Travel,"5A/8/38/191 Lạc Long Quân, Q. Cầu giấy, Tp. Hà Nội",01-160/2014/TCDL-GP LHQT,31/12/2014,(024) 3919 5633,(024) 3771 1459,www.vietnamgolf.vn,booking@vietnamgolf.vn
66,CÔNG TY TNHH DU LỊCH NAM PHÚC,NAM PHUC TOURIST COMPANY LIMITED,International Travel,,01-165/2020/TCDL-GP LHQT,23/11/2020,02436556466/0984848986,2438737679,www.namphuctourist.com,namphuctourist@gmail.com
67,Công ty TNHH Du lịch Hải Yến,HAI YEN TRAVEL COMPANY LIMITED,International Travel,"3 ngõ 139 Tân Mai, Q. Hoàng Mai, TP. Hà Nội",01-290/2014/TCDL-GP LHQT,31/12/2014,(024) 3664 0654,(024) 3664 0654,haiyentravel.com,haiyentravel@hn.vnn.vn
68,Công ty TNHH Du lịch Hoa Hướng Dương,SUN FLOWER TRAVEL COMPANY LIMITED,International Travel,"22 Ấu Triệu, Q. Hoàn Kiếm, Tp. Hà Nội",01-319/2015/TCDL-GP LHQT,14/09/2015,(024) 3928 8059 / (04) 3928 8265,(024) 3928 8264,,sunflowertravel@vnn.vn
69,Công ty TNHH Du lịch Hoàng Gia Việt Nam,VIET NAM ROYAL TOURISM COMPANY LIMITED,International Travel,"291 Thịnh Liệt, Q. Hoàng Mai, Tp. Hà Nội",01-213/2014/TCDL-GP LHQT,20/11/2014,(024) 3715 2808,(024) 3615 2838,www.vietnamroyaltourism.com,Thuy@vietnamroyaltourism.com
70,Công ty TNHH Du lịch và Thương mại Hồng Phát,HONG PHAT TRAVEL AND TRADING COMPANY LIMITED,International Travel,"3/50 Đào Duy Từ, Q. Hoàn Kiếm, Tp. Hà Nội",01-197/2014/TCDL-GP LHQT,30/01/2015,(024) 3926 3043,(024) 3934 3797,www.GPTravelvietnam.com,info@GPTravelvietnam.com
71,Công ty TNHH Du lịch EUROVIET,EUROVIET TRAVEL COMPANY LIMITED,International Travel,"N2, Khu B, Tập thể Kho 708, Tx. Liên Ninh, H. Thanh Trì, Tp. Hà Nội",01-317/2015/TCDL-GP LHQT,30/09/2015,"(024) 3622 8082, 2214 1577",(024) 3622 8083,www.euroviettravel.com,info@euroviettravel.com
73,CÔNG TY TNHH GIẢI PHÁP DU LỊCH VIỆT NAM,VIET NAM TRAVEL SOLUTIONS COMPANY LIMITED,International Travel,"SỐ 3, KHU 628, ĐƯỜNG HOÀNG HOA THÁM",01-403/2014/TCDL-GP LHQT,18/11/2024,437150718,,www.vietnamtravelsolutions.com,info@vietnamtravelsolutions.com
74,Công ty TNHH Sắc Việt,COLOUR OF VIET COMPANY LIMITED,International Travel,"P408 Nhà C, 16 Trần Hưng Đạo, Q. Hoàn Kiếm, Tp. Hà Nội",01-017/2014/TCDL-GP LHQT,31/03/2014,(024) 3933 4618,(024) 3933 4619,www.colourofviet.com,info@colourofviet.com
77,Công ty TNHH Du lịch Trung tâm Việt,VIET CENTER TOURIST COMPANY LIMITED,International Travel,P116B-B3 TẬP THỂ GIẢNG VÕ,01-025/2021/TCDL-GP LHQT,18/08/2023,024 6281 6212,,www.vietcentertourist.com,info@vietcenter.vn
78,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH ĐẠI DƯƠNG XANH,BLUE OCEAN TRADE AND TOURISM COMPANY LIMITED,International Travel,SỐ 3 NGÁCH 2/69 PHỐ HOÀNG LIỆT,01-042/2014/TCDL-GP LHQT,28/03/2024,2439909076,,www.blueoceantours.net,nhung@blueoceantours.net
79,CÔNG TY TNHH DU LỊCH TẦM NHÌN,WIDE EYED TOURS COMPANY LIMITED,International Travel,"SỐ 14, NGÕ 30 ĐƯỜNG NGỌC THỤY",01-110/2022/TCDL-GP LHQT,31/10/2024,+84 243 926 2241,+84 243 926 2369,www.wideeyedtours.com,info@wideeyedtours.com
80,Công ty TNHH Thương mại Du lịch Quốc tế Việt Á,VIET A INTERNATIONAL TRAVEL COMMERCIAL COMPANY LIMITED,International Travel,"46 Nguyễn Khánh Toàn, Q. Cầu Giấy, Tp. Hà Nội",01-108/2014/TCDL-GP LHQT,31/12/2014,(024) 3722 3904,(024) 3722 3906,ww.vietatravel.com.vn,va-travel@fpt.vn
81,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH LẠC VIỆT,LAC VIET TRAVEL AND TRADING COMPANY LIMITED,International Travel,"CĂN 09, KHU BIỆT THỰ DỰ ÁN, SỐ 310 PHỐ MINH KHAI",01-134/2022/TCDL-GP LHQT,24/10/2024,2439413748,2439413747,www.lvtravel.com,len@lvtravel.vn
82,Công ty TNHH Beetours Việt Nam,BEETOURS VIET NAM COMPANY LIMITED,International Travel,"Tầng 2, tòa 3 Đỗ Hành, Q. Hai Bà Trưng, Tp. Hà Nội",01-136/2015/TCDL-GP LHQT,27/10/2015,(024) 3978 5635,(024) 3978 5636,www.beetours.com,info@beetours.com
83,CÔNG TY TNHH THƯƠNG MẠI VÀ DU LỊCH VIỄN ĐÔNG,FAR EAST TOURISM AND TRADING COMPANY LIMITED,International Travel,SỐ 20 NGÕ ĐÌNH ĐẠI,01-140/2020/TCDL-GP LHQT,03/12/2024,2437475875,2437475878,www.fareastour.com,Sales@fareastour.com
84,CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI NGỌC LINH,NGOC LINH TRAVEL AND TRADING COMPANY LIMITED,International Travel,P404/124 PHỐ MINH KHAI,01-139/2021/TCDL-GP LHQT,24/12/2009,2436248630,,www.morefuntravel.com,info@morefuntravel.com
85,Công ty TNHH Dịch vụ và Thương mại Việt Nam - Nhật Bản,VIETNAM - JAPAN SERVICES AND COMMERCE COMPANY LIMITED,International Travel,Số 643A Phạm Văn Đồng,01-149/2015/TCDL-GP LHQT,09/09/2024,024 3791 7420,024 3791 7421,vjsc.info,vjsc@vjsc.info
